playernm_full,nba_id,bbmon_id,nf_id,rotoguru_id
Gordon Hayward,202330,3162,68,4285
Gorgui Dieng,203476,3704,2172,4632
Greg Monroe,202328,3107,297,4298
Greivis Vasquez,202349,3119,36,4320
Harrison Barnes,203084,3435,2134,4502
Hassan Whiteside,202355,3154,149,4324
Hollis Thompson,203138,3659,2110,4534
Ian Clark,203546,3759,2231,4611
Ian Mahinmi,101133,2455,59,3777
Iman Shumpert,202697,3393,237,4397
Isaiah Canaan,203477,3693,2185,4569
Isaiah Thomas,202738,3397,146,4420
Ish Smith,202397,3225,35,4315
J.J. O'Brien,1626266,5107,2403,4805
J.R. Smith,2747,2308,413,3669
Jabari Parker,203953,3941,2250,4728
Jae Crowder,203109,3456,2109,4472
Jahlil Okafor,1626143,5037,2328,4836
JaKarr Sampson,203960,3976,2299,4676
Jamal Crawford,2037,1928,474,3116
Jameer Nelson,2749,2295,356,3656
James Anderson,202341,3155,1,4262
James Ennis,203516,3700,2201,4697
James Harden,201935,3001,78,4224
James Johnson,201949,3029,213,4168
James Jones,2592,2204,399,3544
James Michael McAdoo,203949,4023,2316,4700
James Young,203923,3959,2264,4679
JaMychal Green,203210,3490,2315,4581
Jared Cunningham,203099,3643,2083,4501
Jared Dudley,201162,2717,154,3985
Jared Sullinger,203096,3605,2126,4475
Jarell Eddie,204067,4051,2402,4670
Jarell Martin,1626185,5030,,4850
Jarnell Stokes,203950,3952,2281,4723
Jarrett Jack,101127,2446,,3766
Jason Smith,201160,2755,24,4023
Jason Terry,1891,1960,62,3054
Jason Thompson,201574,2864,147,4124
JaVale McGee,201580,2851,341,4114
Jeff Green,201145,2724,257,3992
Jeff Teague,201952,3021,391,4221
Jeff Withey,203481,3708,2190,4565
Jerami Grant,203924,3921,2284,4765
Jeremy Evans,202379,3160,65,4278
Jeremy Lamb,203087,3537,2108,4514
Jeremy Lin,202391,3218,199,4297
Jerian Grant,1626170,5011,2344,4873
Jerryd Bayless,201573,2811,208,4076
Jimmer Fredette,202690,,,4417
Jimmy Butler,202710,3357,325,4363
JJ Hickson,201581,2835,141,4030
JJ Redick,200755,2631,358,3861
Joakim Noah,201149,2745,,4013
Jodie Meeks,201975,3030,,4183
Joe Harris,203925,3924,2279,4733
Joe Ingles,204060,3242,2297,4701
Joe Johnson,2207,1810,386,3304
Joe Young,1626202,5059,2368,4782
Joel Anthony,201202,2703,361,3972
Joffrey Lauvergne,203530,3688,2206,4768
John Henson,203089,3505,2107,4525
John Jenkins,203098,3516,2106,4540
John Wall,202322,3166,347,4321
Johnny O'Bryant,203948,3940,,4721
Jon Leuer,202720,3379,273,4411
Jonas Jerebko,201973,3027,293,4187
Jonas Valanciunas,202685,3402,215,4497
Jonathon Simmons,203613,5093,2399,4890
Jordan Adams,203919,3900,2269,4727
Jordan Clarkson,203903,3910,2289,4668
Jordan Hill,201941,3005,43,4179
Jordan Mickey,1626175,5032,,4824
Jose Calderon,101181,2423,209,3740
Jose Juan Barea,200826,2578,470,3882
Josh McRoberts,201177,2739,401,4007
Josh Richardson,1626196,5046,2365,4788
Josh Smith,2746,2332,389,3670
Jrue Holiday,201950,3004,220,4212
Julius Randle,203944,3946,2255,4680
Justin Anderson,1626147,5001,2346,4860
Justin Holiday,203200,3506,2148,4558
Justise Winslow,1626159,5057,2335,4787
Jusuf Nurkic,203994,3939,2263,4681
Karl-Anthony Towns,1626157,5052,2326,4879
Kawhi Leonard,202695,3377,12,4404
Keith Appling,203951,4095,2404,4738
Kelly Olynyk,203482,3677,2164,4583
Kelly Oubre,1626162,5039,2340,4828
Kemba Walker,202689,3405,381,4440
Kendall Marshall,203088,3544,2105,4500
Kendrick Perkins,2570,2189,85,3556
Kenneth Faried,202702,3360,126,4456
Kent Bazemore,203145,3438,2089,4507
Kentavious Caldwell-Pope,203484,3689,2159,4616
Kevin Durant,201142,2718,77,3986
Kevin Garnett,708,1874,256,1449
Kevin Love,201567,2848,111,4074
Kevin Martin,2755,2262,46,3652
Kevin Seraphin,202338,3165,344,4314
Khris Middleton,203114,3551,2081,4490
Kirk Hinrich,2550,2132,384,3538
KJ McDaniels,203909,3933,2278,4675
Klay Thompson,202691,3399,200,4367
Kobe Bryant,977,2113,166,1881
Kosta Koufos,201585,2842,131,4109
Kostas Papanikolaou,203123,3648,2295,4710
Kris Humphries,2743,2378,405,3640
Kristaps Porzingis,204001,5043,2329,4871
Kyle Anderson,203937,3901,2276,4736
Kyle Korver,2594,1807,328,3547
Kyle Lowry,200768,2615,45,3891
Kyle O'Quinn,203124,3563,2103,4529
Kyle Singler,202713,3394,298,4460
Kyrie Irving,202681,3369,314,4379
Lamar Patterson,203934,3942,2387,4865
LaMarcus Aldridge,200746,2572,89,3860
Lance Stephenson,202362,3183,288,4316
Lance Thomas,202498,3413,517,4384
Langston Galloway,204038,4008,2312,4735
Larry Nance Jr.,1626204,5036,2352,4798
Lavoy Allen,202730,3350,216,4374
Leandro Barbosa,2571,2151,206,3514
LeBron James,2544,2011,367,3541
Lorenzo Brown,203485,3703,2203,4629
Lou Amundson,200811,2574,192,3940
Lou Williams,101150,2491,227,3816
Luc Mbah a Moute,201601,2850,415,4113
Lucas Nogueira,203512,3673,2167,4759
Luis Montero,1626242,5168,2395,4814
Luis Scola,2449,2771,50,3503
Luke Babbitt,202337,3150,90,4264
Luol Deng,2736,2280,326,3629
Manu Ginobili,1938,1821,7,3021
Marc Gasol,201188,2722,28,3990
Marcelo Huertas,1626273,5197,2393,4803
Marcin Gortat,101162,2436,156,3756
Marco Belinelli,201158,2705,19,3974
Marcus Morris,202694,3387,47,4407
Marcus Smart,203935,3949,2254,4677
Marcus Thornton,201977,3033,148,4227
Mario Chalmers,201596,2814,363,4088
Mario Hezonja,1626209,5018,2330,4776
Markel Brown,203900,3905,2287,4693
Markieff Morris,202693,3388,159,4453
Marreese Speights,201578,2862,224,4122
Marvin Williams,101107,2492,392,3817
Mason Plumlee,203486,3675,2173,4607
Matt Barnes,2440,2221,164,3474
Matt Bonner,2588,2357,4,3520
Matthew Dellavedova,203521,3775,2232,4610
Maurice Harkless,203090,3499,2093,4530
Metta World Peace,1897,1883,178,3001
Meyers Leonard,203086,3540,2133,4521
Michael Carter-Williams,203487,3716,2162,4575
Mike Conley,201144,2711,27,3979
Mike Miller,2034,2084,368,3141
Mike Muscala,203488,3672,2195,4659
Mike Scott,203118,3589,2080,4488
Miles Plumlee,203101,3567,2100,4542
Mirza Teletovic,203141,3642,2085,4478
Mitch McGary,203956,3935,2268,4725
Mo Williams,2590,2097,191,3574
Monta Ellis,101145,2426,196,3745
Montrezl Harrell,1626149,5014,2357,4857
Myles Turner,1626167,5053,2336,4781
Nate Robinson,101126,,,3793
Nemanja Bjelica,202357,3127,2386,4875
Nene,2403,2002,393,3408
Nerlens Noel,203457,3718,2157,4652
Nick Collison,2555,2297,75,3523
Nick Young,201156,2768,348,4036
Nicolas Batum,201587,2810,92,4086
Nik Stauskas,203917,3951,,4703
Nikola Jokic,203999,3930,2388,4772
Nikola Mirotic,202703,3409,330,4682
Nikola Pekovic,201593,3337,116,4116
Nikola Vucevic,202696,3404,226,4373
Noah Vonleh,203943,3955,2257,4761
Norman Powell,1626181,5044,2371,4792
Norris Cole,202708,3358,364,4370
O.J. Mayo,201564,2849,32,4072
Omer Asik,201600,2891,321,4263
Omri Casspi,201956,3018,304,4209
Otto Porter,203490,3731,2154,4653
Pablo Prigioni,203143,3646,2092,4546
Pat Connaughton,1626192,5006,2366,4811
Patrick Beverley,201976,3032,2143,4234
Patrick Patterson,202335,3110,49,4302
Patty Mills,201988,3040,,4245
Pau Gasol,2200,2086,171,3308
Paul George,202331,3111,279,4283
Paul Millsap,200794,2621,72,3904
Paul Pierce,1718,1852,261,2428
Phil Pressey,203515,,2218,4631
PJ Hairston,203798,3922,2273,4722
PJ Tucker,200782,2643,1538,3871
Quincy Acy,203112,3427,2079,4496
Rajon Rondo,200765,2633,262,3872
Ramon Sessions,201196,2752,318,4020
Randy Foye,200751,2596,182,3858
Rashad Vaughn,1626173,5054,2342,4846
Rasual Butler,2446,2192,,3463
Raul Neto,203526,3730,2198,4807
Ray McCallum,203492,3724,2187,4586
Raymond Felton,101109,2428,95,3747
Reggie Bullock,203493,3696,,4654
Reggie Jackson,202704,3370,81,4369
Richard Jefferson,2210,1902,10,3311
Richaun Holmes,1626158,5021,2362,4835
Ricky Rubio,201937,3046,119,4414
RJ Hunter,1626154,5022,2353,4825
Robert Covington,203496,3766,2216,4570
Robert Sacre,203135,3582,2097,4535
Robin Lopez,201577,2847,158,4112
Rodney Hood,203918,3925,2270,4744
Rodney Stuckey,201155,2757,299,4026
Rondae Hollis-Jefferson,1626178,5020,2348,4810
Ronnie Price,101179,2467,499,3789
Roy Hibbert,201579,2834,282,4101
Rudy Gay,200752,2600,29,3857
