Score,Player_Name,Position,Team,Opposing_TeamFB,B2B,Salary,ImpPts,PtVal,MinutesProj,ProjPlusMinus,OppPlusMinus,Floor,AvgPts,Ceiling,Month_PPG,Season_PPG,Usage,UsageProj,PaceD,PER,Trend,MyTrends,Month_Salary_Change,Season_Salary_Change,Total,Pts,OppPts,Spread,Vegas,Run_Change,Season_Plus_Minus,Plus_Minus,Days_Between_games,OfficialPlusMinus,Refs,InjuryStatus,OppPlusMinusPct,Site_Salary,CeilingPct,Consistency,Month_Count,Season_Count,Confirmed,FloorPct,Pro_Pct,PtPerDPct,ProjPlusMinusPct,Upside,FantasyResultId,SpreadPct,ProjPct,Season_PPG_Percentile,Salary_Movement,MyTrends|custom,ActualPoints,IsLocked,Month_X2,Month_X1,Month_X0,Season_X2,Season_X1,Season_X0,SourceId,PlayerId,EventTeamId,PositionId,EventId
81.89, Serge Ibaka,PF,OKC,CHI,  ,6300,24.46,4.8,34.0,5.94,1.1,15.5,30.4,45.3,27.1,29.0,17.8,18.9,0.7,16.61,0,0,-100,-900,206.0,108.0,98.0,-10.0,92,1.5,1.8,72,2,0.1,"Ayotte,  Brown,  Davis",,81,84,87,37,13,63,Y,82,0,88,89,69,479518,56,84,85,69,0,20.4,False,23,46,30,33,33,33,3,12207,30045102,201,3004510
81.25, Chris Paul,PG,LAC,@LAL,1A,9000,36.24,4.7,31.4,6.06,2.5,27.2,42.3,57.4,37.2,40.6,26.2,26.8,0.1,23.41,0,0,100,-800,207.5,110.0,97.5,-12.5,95,0.5,0.6,53,4,-0.1,"Cutler,  Richardson,  Stafford",,97,51,97,37,12,87,Y,97,0,86,90,78,479523,68,98,97,32,0,43.0,False,50,25,25,36,33,29,3,12012,30045401,201,3004540
81.15, Kevin Durant,SF,OKC,CHI,  ,10000,40.61,4.6,37.4,5.79,0.9,33.0,46.4,59.8,43.6,43.6,28.1,29.5,0.7,29.35,0,0,-200,-300,206.0,108.0,98.0,-10.0,92,1.5,1.2,63,2,0.1,"Ayotte,  Brown,  Davis",,75,74,98,57,13,41,Y,99,0,83,88,53,479250,56,99,98,75,0,52.3,False,30,38,30,29,39,31,3,12157,30045102,201,3004510
80.97, Blake Griffin,PF,LAC,@LAL,1A,9000,36.24,4.6,33.9,5.56,0.8,22.9,41.8,60.7,39.7,42.2,28.6,31.2,0.1,24.37,0,0,-200,-900,207.5,110.0,97.5,-12.5,95,0.5,2.4,81,4,-0.1,"Cutler,  Richardson,  Stafford",,72,74,98,57,14,79,Y,95,0,83,88,75,479489,68,97,98,75,0,35.9,False,35,50,14,35,39,25,3,12226,30045401,201,3004540
80.4, Gerald Green,SG,MIA,NO,1H,4100,14.86,5.4,30.2,7.34,0.6,9.9,22.2,34.5,19.2,15.8,18.6,24.3,3.8,12.73,0,0,600,100,200.0,102.3,97.8,-4.5,72,-0.2,1.2,64,3,0.0,"Brothers,  Buchert,  Corbin",,65,91,65,75,13,63,Y,67,0,96,94,84,479424,60,63,45,12,0,17.2,False,69,30,0,39,44,15,3,12020,30045002,201,3004500
80.04, Anthony Davis,PF,NO,@MIA,1A,10400,42.35,4.7,39.3,6.85,0.1,28.0,49.2,70.4,44.2,46.7,26.0,30.8,-3.8,25.12,0,0,-700,-800,200.0,97.8,102.3,4.5,46,0.3,0.4,50,2,0.0,"Brothers,  Buchert,  Corbin",,50,65,99,65,13,70,Y,97,0,86,92,64,479368,40,99,99,92,0,63.0,False,38,30,30,32,41,25,3,12369,30045001,201,3004500
79.04, Stephen Curry,PG,GS,CLE,  ,10900,44.53,4.8,36.9,7.67,-0.3,35.5,52.2,68.9,46.3,44.0,31.7,34.0,-6.7,32.61,0,0,0,500,208.0,107.3,100.8,-6.5,90,-1.0,1.9,74,2,-0.3,"Boland,  Foster,  Kirkland",,37,61,99,51,12,94,Y,99,0,88,94,64,479306,43,99,98,63,0,38.9,False,41,33,25,32,37,29,3,12231,30045202,201,3004520
78.53, Kawhi Leonard,SF,SAN,@HOU,1A,8900,35.81,4.6,34.7,4.79,2.3,26.1,40.6,55.1,38.4,36.0,23.8,26.7,4.6,27.55,0,0,100,1100,204.5,105.8,98.8,-7.0,86,2.3,3.0,88,2,0.2,"Collins,  Phillips,  Zielinski",,96,47,96,62,14,77,Y,97,0,83,83,86,479547,66,97,95,32,0,49.4,False,42,42,14,40,40,19,3,12333,30045301,201,3004530
78.4, Russell Westbrook,PG,OKC,CHI,  ,10400,42.35,4.5,35.0,4.85,0.4,31.9,47.2,62.5,42.7,49.6,34.9,33.7,0.7,30.48,0,0,-1200,-400,206.0,108.0,98.0,-10.0,92,1.5,3.4,91,2,0.1,"Ayotte,  Brown,  Davis",,59,74,99,39,13,70,Y,99,0,79,84,90,479574,56,99,99,98,0,52.4,False,30,38,30,42,34,22,3,12188,30045102,201,3004510
77.95, Luol Deng,SF,MIA,NO,1H,4700,17.48,5.0,34.0,5.82,0.4,9.9,23.3,36.7,21.1,22.3,14.8,17.2,3.8,13.65,0,0,,-1200,200.0,102.3,97.8,-4.5,72,-0.2,0.8,56,3,0.0,"Brothers,  Buchert,  Corbin",,59,89,71,54,8,65,Y,67,0,92,89,53,479249,60,67,70,50,0,19.5,False,37,37,25,29,38,32,3,12655,30045002,201,3004500
76.88, Patrick Beverley,PG,HOU,SAN,1H,4200,15.3,5.1,29.8,6.2,0.2,11.0,21.5,32.0,20.6,19.1,15.8,16.9,-4.6,10.26,0,0,700,200,204.5,98.8,105.8,7.0,53,1.8,1.6,69,2,0.2,"Collins,  Phillips,  Zielinski",,53,94,58,77,15,64,Y,70,0,93,90,61,479522,34,61,58,9,0,12.9,False,60,33,6,31,45,23,3,12257,30045302,201,3004530
76.32, Andre Iguodala,SF,GS,CLE,  ,4600,17.05,4.8,31.3,4.95,0.2,10.1,22.0,33.9,17.6,19.8,12.2,11.6,-6.7,14.32,0,0,-400,300,208.0,107.3,100.8,-6.5,90,-1.0,3.0,88,2,-0.3,"Boland,  Foster,  Kirkland",,53,95,63,80,12,91,Y,67,0,88,85,64,479373,43,62,61,84,0,17.9,False,33,16,50,32,46,20,3,12656,30045202,201,3004520
