Score,Player_Name,Position,Team,Opposing_TeamFB,B2B,Salary,ImpPts,PtVal,MinutesProj,ProjPlusMinus,OppPlusMinus,Floor,AvgPts,Ceiling,Month_PPG,Season_PPG,Usage,UsageProj,PaceD,PER,Trend,MyTrends,Month_Salary_Change,Season_Salary_Change,Total,Pts,OppPts,Spread,Vegas,Run_Change,Season_Plus_Minus,Plus_Minus,Days_Between_games,OfficialPlusMinus,Refs,InjuryStatus,OppPlusMinusPct,Site_Salary,CeilingPct,Consistency,Month_Count,Season_Count,Confirmed,FloorPct,Pro_Pct,PtPerDPct,FloorPtPerDPct,ProjPlusMinusPct,Upside,FantasyResultId,SpreadPct,ProjPct,Season_PPG_Percentile,Salary_Movement,MyTrends|custom,ActualPoints,IsLocked,Month_X2,Month_X1,Month_X0,Season_X2,Season_X1,Season_X0,SourceId,PlayerId,EventTeamId,PositionId,EventId
84.14, Joffrey Lauvergne,C,DEN,@POR,2A,10,12.21,2350.0,24.3,11.29,2.2,8.6,23.5,38.4,,,20.0,26.5,0.0,19.41,0,0,0,0,201.5,97.5,104.0,6.5,45,0.0,,50,1,-0.3,"Crawford,  Petraitis,  Tiven",,70,99,68,,,0,Y,62,0,99,38,99,,487759,48,74,,89,0,26.2,False,,,,,,,11,12497,30061201,201,3006120
83.49, Nikola Jokic,C,DEN,@POR,2A,12,14.63,1908.3,22.4,8.27,2.2,10.2,22.9,35.6,,,19.7,22.4,0.0,21.28,0,0,-2,2,201.5,97.5,104.0,6.5,45,0.0,,50,1,-0.3,"Crawford,  Petraitis,  Tiven",,70,99,60,,,0,Y,66,0,98,38,99,,487863,48,72,,95,0,20.7,False,,,,,,,11,12576,30061201,201,3006120
82.07, Lavoy Allen,C,IND,@CHI,1A,10,12.21,2000.0,26.9,7.79,2.6,3.8,20.0,36.2,,,13.4,14.1,-0.1,10.37,0,0,0,0,201.5,99.3,102.3,3.0,56,0.5,,50,2,0.1,"Blair,  Lewis,  Phillips",,76,96,62,,,0,Y,38,0,99,25,98,,487809,48,64,,89,0,25.4,False,,,,,,,11,12357,30060801,201,3006080
81.84, Ian Mahinmi,C,IND,@CHI,1A,16,19.46,1518.8,27.8,4.84,2.6,6.5,24.3,42.1,,,14.0,17.2,-0.1,17.45,0,0,0,6,201.5,99.3,102.3,3.0,56,0.5,,50,2,0.1,"Blair,  Lewis,  Phillips",,76,93,76,,,0,Y,49,0,93,25,96,,487376,48,76,,89,0,19.9,False,,,,,,,11,12025,30060801,201,3006080
81.15, Ish Smith,PG,PHI,@SAC,  ,16,19.46,1925.0,31.4,11.34,-2.5,15.9,30.8,45.7,,,22.1,26.5,2.2,16.94,0,0,-12,-3,216.0,102.8,113.3,10.5,75,1.8,,50,2,0.3,"Capers,  Nansel,  Wall",,23,99,82,,,0,Y,84,0,98,49,99,,487137,39,87,,50,0,42.1,False,,,,,,,11,12313,30061301,201,3006130
80.73, Cody Zeller,C,CHR,LAC,  ,11,13.42,2327.3,32.4,12.18,-0.1,7.3,25.6,43.9,,,14.8,15.3,0.1,15.16,0,0,1,-6,201.0,99.3,101.8,2.5,56,-0.7,,50,2,0.2,"Brown,  Taylor,  Zarba",,45,99,79,,,0,Y,55,0,99,29,99,,487372,54,78,,9,0,28.6,False,,,,,,,11,12452,30060402,201,3006040
80.18, Shaun Livingston,PG,GS,@DAL,1A,10,12.21,2460.0,32.8,12.39,-1.8,7.4,24.6,41.8,,,13.3,18.5,-4.0,11.31,0,0,0,-2,208.5,106.0,102.5,-3.5,87,-5.0,,50,2,0.2,"Kogut,  Malloy,  Zielinski",,30,96,75,,,0,Y,56,0,99,31,99,,487858,66,76,,89,0,15.2,False,,,,,,,11,12652,30061001,201,3006100
79.97, Jeff Withey,C,UTA,@MIN,1A,10,12.21,2080.0,23.6,8.59,0.0,4.0,20.8,37.6,,,13.5,17.8,3.7,17.12,0,0,0,0,191.0,93.5,97.5,4.0,22,-3.8,,50,2,0.0,"Collins,  Mauer,  Williams",,48,96,65,,,0,Y,39,0,99,25,99,,487439,56,67,,89,0,30.3,False,,,,,,,11,12461,30060901,201,3006090
79.79, Kelly Olynyk,C,BOS,LAL,  ,14,17.05,1642.9,23.7,5.95,1.1,8.3,23.0,37.7,,,20.7,19.9,-2.3,16.85,0,0,4,0,206.5,110.0,96.5,-13.5,95,0.7,,50,3,-0.2,"Barnaky,  Callahan,  Workman",,58,99,66,,,0,Y,61,0,97,28,97,,487596,57,72,,0,0,17.6,False,,,,,,,11,12462,30060602,201,3006060
79.68, Gary Harris,SG,DEN,@POR,2A,10,12.21,2360.0,32.6,11.39,-2.3,11.7,23.6,35.5,,,16.4,21.2,0.0,11.22,0,0,-3,0,201.5,97.5,104.0,6.5,45,0.0,,50,1,-0.3,"Crawford,  Petraitis,  Tiven",,26,99,60,,,0,Y,70,0,99,76,99,,487382,48,74,,98,0,31.8,False,,,,,,,11,12531,30061201,201,3006120
78.78, Meyers Leonard,C,POR,DEN,1H,10,12.21,1980.0,25.4,7.59,-0.7,7.6,19.8,32.0,,,16.7,19.0,0.0,10.64,0,0,-6,-4,201.5,104.0,97.5,-6.5,80,0.0,,50,3,-0.3,"Crawford,  Petraitis,  Tiven",,41,99,47,,,0,Y,57,0,99,33,98,,487083,52,63,,99,0,20.0,False,,,,,,,11,12379,30061202,201,3006120
78.7, Andrew Bogut,C,GS,@DAL,1A,13,15.84,1761.5,23.9,7.06,-2.4,7.2,22.9,38.6,,,11.8,12.4,-4.0,18.02,0,0,-4,-6,208.5,106.0,102.5,-3.5,87,-5.0,,50,2,0.2,"Kogut,  Malloy,  Zielinski",,25,97,69,,,0,Y,54,0,98,27,98,,487441,66,72,,99,0,23.5,False,,,,,,,11,12010,30061001,201,3006100
78.66, Jose Juan Barea,SG,DAL,GS,  ,12,14.63,2050.0,30.8,9.97,-2.0,8.7,24.6,40.5,,,23.4,20.4,4.0,14.91,0,0,2,-5,208.5,102.5,106.0,3.5,74,0.0,,50,2,0.2,"Kogut,  Malloy,  Zielinski",,28,99,72,,,0,Y,62,0,99,31,99,,487327,34,76,,5,0,39.1,False,,,,,,,11,12154,30061002,201,3006100
78.29, Chandler Parsons,SF,DAL,GS,  ,15,18.25,1833.3,35.9,9.25,-3.4,14.1,27.5,40.9,,,18.7,20.7,4.0,11.9,0,0,2,-4,208.5,102.5,106.0,3.5,74,0.0,,50,2,0.2,"Kogut,  Malloy,  Zielinski",,16,99,73,,,0,Y,78,0,98,44,99,,487227,34,81,,5,0,18.2,False,,,,,,,11,12350,30061002,201,3006100
78.08, JJ Redick,SG,LAC,@CHR,1A,17,20.67,1500.0,32.4,4.83,-2.0,12.3,25.5,38.7,,,20.5,23.1,-0.1,17.09,0,0,-2,-4,201.0,101.8,99.3,-2.5,70,0.3,,50,2,0.2,"Brown,  Taylor,  Zarba",,28,95,69,,,0,Y,73,0,93,31,96,,487705,46,78,,95,0,28.7,False,,,,,,,11,12138,30060401,201,3006040
77.9, Taj Gibson,PF,CHI,IND,  ,14,17.05,1771.4,34.3,7.75,-2.4,8.7,24.8,40.9,,,14.1,14.2,0.1,15.15,0,0,2,-2,201.5,102.3,99.3,-3.0,72,0.0,,50,2,0.1,"Blair,  Lewis,  Phillips",,25,99,73,,,0,Y,62,0,98,29,98,,487483,52,76,,5,0,30.8,False,,,,,,,11,12247,30060802,201,3006080
77.74, Evan Fournier,SG,ORL,BKN,  ,20,24.29,1375.0,35.1,3.21,0.4,14.5,27.5,40.5,,,19.2,19.7,0.7,15.12,0,0,-8,5,199.5,103.5,96.0,-7.5,78,0.2,,50,2,-0.1,"Davis,  Jones,  Richardson",,51,88,72,,,0,Y,79,0,88,31,91,,487074,53,81,,100,0,31.6,False,,,,,,,11,12388,30060502,201,3006050
77.64, Allen Crabbe,SG,POR,DEN,1H,15,18.25,1693.3,31.3,7.15,-2.1,11.5,25.4,39.3,,,17.3,21.6,0.0,12.38,0,0,5,5,201.5,104.0,97.5,-6.5,80,0.0,,50,3,-0.3,"Crawford,  Petraitis,  Tiven",,27,96,70,,,0,Y,69,0,97,33,98,,487691,52,78,,0,0,31.5,False,,,,,,,11,12445,30061202,201,3006120
77.48, Rodney Stuckey,SG,IND,@CHI,1A,11,13.42,1763.6,25.2,5.98,-1.0,6.1,19.4,32.7,,,20.4,22.7,-0.1,13.51,0,0,-2,-10,201.5,99.3,102.3,3.0,56,0.5,,50,2,0.1,"Blair,  Lewis,  Phillips",,38,99,49,,,0,Y,47,0,98,27,97,,487224,48,62,,95,0,20.9,False,,,,,,,11,12166,30060801,201,3006080
77.2, Kosta Koufos,C,SAC,PHI,  ,10,12.21,1650.0,20.6,4.29,1.5,1.6,16.5,31.4,,,14.0,13.0,-2.2,15.49,0,0,-6,-3,216.0,113.3,102.8,-10.5,98,4.3,,50,2,0.3,"Capers,  Nansel,  Wall",,62,99,45,,,0,Y,22,0,97,0,95,,487184,61,53,,99,0,5.0,False,,,,,,,11,12206,30061302,201,3006130
77.17, Shane Larkin,PG,BKN,@ORL,  ,10,12.21,2000.0,28.8,7.79,-2.4,7.9,20.0,32.1,,,19.2,16.2,-0.7,17.01,0,0,0,-5,199.5,96.0,103.5,7.5,36,0.2,,50,2,-0.1,"Davis,  Jones,  Richardson",,25,99,47,,,0,Y,60,0,99,33,98,,487272,47,64,,89,0,11.9,False,,,,,,,11,12477,30060501,201,3006050
76.57, David West,PF,SAN,PHX,  ,10,12.21,2180.0,26.2,9.59,-5.4,6.3,21.8,37.3,,,17.3,17.2,5.7,16.13,0,0,0,-11,198.0,106.3,91.8,-14.5,87,1.0,,50,2,0.0,"Anderson,  Ayotte,  Washington",,6,99,64,,,0,Y,49,0,99,29,99,,487860,64,69,,89,0,17.0,False,,,,,,,11,12632,30061102,201,3006110
